date_ist,actual,m3_residual_l2_nogeo,idw_k8
2025-09-14,16.603055555555557,21.0414450595165,17.374579996486865
2025-09-15,19.36034722222222,21.46085569515993,16.720004654939004
2025-09-16,29.033854166666668,17.778096657851755,15.049619678597784
2025-09-17,28.684270833333333,16.564629377773812,11.119650776481327
2025-09-19,33.423125,25.55628855443945,34.67371873519427
2025-09-20,31.69357638888889,22.222507948985253,109.73685872962847
2025-09-21,24.472881944444442,14.27768517310744,12.405365924292978
2025-09-22,24.471875,16.74052785817638,13.837217569411827
2025-09-23,22.97628472222222,18.610511622356174,13.72719475894609
2025-09-26,14.334007936507936,17.570067464652162,12.967762815576394
2025-09-27,13.934356060606062,23.55203178266879,29.012632851701373
2025-09-28,17.293840579710146,21.01897798926276,12.443648402269456
2025-09-29,29.5109375,17.92800639084907,13.461548622886745
2025-09-30,34.430659722222224,28.22010879921484,32.75260782236603
2025-10-01,21.63111111111111,19.48459683664004,13.875812735824713
2025-10-02,18.337812500000002,18.472178531204673,19.323059848624073
2025-10-03,23.552118055555557,22.03247503684354,15.118232648936196
2025-10-04,34.450069444444445,25.37153010269061,30.290802324941833
2025-10-05,26.057604166666664,22.65333499770724,23.284156441564196
2025-10-06,28.919131944444445,23.268289321844897,15.637171447523547
2025-10-07,44.633159722222224,27.315343286126513,39.405067469797075
2025-10-08,47.078784722222224,23.65529664014309,20.59512278246143
2025-10-09,43.14642361111111,28.33592338534487,43.25917835506733
2025-10-10,41.60405303030303,30.839861910860563,66.26976661529002
2025-10-11,35.10268115942029,29.774127087642427,41.56819009920439
2025-10-12,38.76135416666667,37.92703309558605,74.1685924884234
2025-10-13,46.526493055555555,13.304113161134694,90.04818875902673
2025-10-14,78.00878472222222,31.62137877629221,33.607681489184756
2025-10-15,46.10837121212121,26.417319267412086,25.1221108696438
2025-10-16,42.57371527777778,22.660402281494488,20.206819996375764
2025-10-17,45.41,32.71509451225477,33.93673630866806
2025-10-18,30.0221875,41.07324012862441,63.89906374002585
2025-10-19,29.92625,27.709005234242007,31.159414593778095
2025-10-20,132.73930555555555,39.35466897594582,41.299527444277835
2025-10-21,94.11562500000001,34.687589932766045,38.88916760764921
2025-10-22,15.209201388888888,23.340992035718227,23.951588134373896
2025-10-23,21.546111111111113,28.23274637776701,45.18486081822374
